i made this 
2577 9705 2
2623 17074 2
2654 16571 1
2675 5611 2
2795 2905 2
2796 11039 2
2839 1243 2
2905 2795 2
2944 3905 2
3122 590 2
3159 17074 2
3333 18834 2
3762 7156 2
3803 9903 2
3905 2944 2
3945 18046 1
3974 5267 2
4054 6246 2
4065 10814 1
4095 11503 2
4143 6893 2
4185 16644 2
4282 16109 2
4360 2128 2
4447 6958 2
4583 205 2
4683 9428 2
4817 14821 2
4870 7496 2
5064 9875 2
5094 9185 2
5267 3974 2
5294 11131 2
5302 2075 1
5566 10361 2
5611 2675 2
5745 2368 2
5756 9923 2
5782 15211 2
5791 12692 2
6083 12903 2
6174 14912 2
6246 4054 2
6310 12182 2
6323 6465 2
6465 6323 2
6653 19710 2
6812 2416 2
6893 4143 2
6958 4447 2
6986 13446 2
7070 11723 2
7072 16822 2
7156 3762 2
7280 17102 2
7320 14115 2
7496 4870 2
7618 12355 2
7620 19800 2
7669 18530 2
7884 15349 2
7995 11336 1
8066 10694 2
8067 19436 2
8222 18819 2
8405 12852 2
8575 12194 2
8707 13386 2
9041 13180 1
9185 5094 2
9245 9411 1
9411 9245 1
9427 12257 2
9428 4683 2
9705 2577 2
9719 19751 2
9875 5064 2
9903 3803 2
9923 5756 2
9984 18150 2
10016 13822 2
10182 19936 2
10196 459 2
10200 13656 2
10246 19646 2
10257 19151 2
10361 5566 2
10361 15300 2
10366 13511 2
10413 13025 2
10459 18325 1
10524 19379 2
10548 19569 2
10694 8066 2
10814 4065 1
10847 15946 2
11039 2796 2
11039 15363 2
11131 5294 2
11336 7995 1
11434 12327 2
11503 4095 2
11723 7070 2
11951 12132 2
11961 13838 1
12036 2401 2
12094 19646 2
12132 11951 2
12182 6310 2
12194 8575 2
12257 9427 2
12327 11434 2
12355 7618 2
12571 154 2
12692 5791 2
12718 13944 2
12852 8405 2
12852 16741 1
12888 16347 2
12903 6083 2
13025 10413 2
13034 1582 2
13055 25 2
13180 9041 1
13211 19009 2
13224 15661 2
13321 1781 2
13386 8707 2
13446 6986 2
13452 18535 2
13465 16009 2
13511 10366 2
13620 1533 2
13656 10200 2
13816 541 2
13822 10016 2
13838 11961 1
13895 19985 2
13944 12718 2
14037 1727 2
14115 7320 2
14533 16402 0
14628 16276 2
14805 19458 2
14821 4817 2
14870 19651 1
14912 6174 2
15029 17100 2
15063 762 2
15211 5782 2
15300 10361 2
15349 7884 2
15363 11039 2
15448 18259 2
15574 17080 2
15661 13224 2
15838 17450 2
15946 10847 2
16000 17930 2
16009 13465 2
16027 16627 2
16109 4282 2
16202 846 2
16219 1094 2
16276 14628 2
16347 12888 2
16376 16691 2
16402 14533 0
16406 19720 2
16571 2654 1
16627 16027 2
16644 4185 2
16671 18822 2
16691 16376 2
16741 12852 1
16822 7072 2
16960 19046 2
17074 2623 2
17074 3159 2
17080 15574 2
17100 15029 2
17102 7280 2
17233 19398 2
17243 1727 2
17297 19185 2
17450 15838 2
17930 16000 2
18046 3945 1
18150 9984 2
18259 15448 2
18325 10459 1
18530 7669 2
18535 13452 2
18616 809 0
18819 8222 2
18822 16671 2
18834 3333 2
19009 13211 2
19046 16960 2
19151 10257 2
19185 17297 2
19379 10524 2
19398 17233 2
19436 8067 2
19458 14805 2
19492 19728 2
19569 10548 2
19646 10246 2
19646 12094 2
19651 14870 1
19710 6653 2
19720 16406 2
19728 19492 2
19751 9719 2
19800 7620 2
19921 1037 2
19936 10182 2
19985 13895 2
66 8097 2
91 9354 2
168 19378 2
268 6284 2
345 9693 1
416 15296 2
454 6921 2
504 17273 0
558 2873 2
676 15254 2
793 10449 2
808 11038 2
855 16591 2
894 12011 2
949 12836 2
967 13719 1
1154 12161 2
1228 1226 2
1268 4077 2
1297 13974 2
1297 14486 1
1533 3184 2
1622 14576 2
1636 18161 2
1641 18753 2
1689 4066 1
1738 5165 2
1781 8574 2
1849 6138 2
1942 16127 2
1947 10796 2
2039 8043 2
2062 8413 2
2206 18775 2
2391 7710 2
2413 13971 2
2498 5232 2
2601 13064 2
2675 9857 2
2771 7375 2
2947 3706 2
3130 14531 2
3152 3589 2
3203 9436 2
3256 9055 2
3256 10336 2
3350 2114 2
3358 19656 2
3367 17925 2
3412 19467 2
3433 12263 2
3433 13143 1
3471 10206 2
3531 8056 2
3888 4062 2
3932 15834 2
3965 11758 2
4048 14530 2
4121 17451 2
4154 14426 2
4282 7519 2
4318 16863 2
4431 16647 2
4518 15209 2
4523 15272 2
4648 2873 2
4678 12598 1
4749 371 2
4786 5774 2
4850 213 2
4861 11840 2
4929 19369 2
4988 5865 2
5221 17508 2
5255 12712 2
5306 15728 2
5342 8450 2
5350 12019 2
5367 15780 2
5406 12962 2
5436 12932 2
5449 9698 2
5713 7886 2
5735 9567 2
5742 16130 2
5744 10199 2
5776 16705 2
5776 17977 2
5792 13108 2
5822 11562 2
5859 2454 2
5923 15470 2
6034 17101 2
6056 3975 2
6133 17437 2
6226 10508 2
6411 14888 2
6436 16626 2
6452 1316 2
6512 8239 2
6609 3068 2
6766 9044 1
6786 11941 2
6893 2773 2
6964 5917 2
6996 19564 2
7054 526 2
7070 14196 2
7072 5948 2
7072 19901 0
7106 19898 2
7156 8059 2
7185 8133 2
7415 6137 2
7576 2187 2
7577 2343 2
7686 14700 2
7805 10956 2
7813 15225 2
7820 7699 1
7860 9581 2
8172 16769 1
8174 5184 2
8279 14047 2
8392 13952 2
8634 5796 2
8729 1100 2
8811 18602 2
8827 1745 1
8876 11213 2
8963 5448 2
9068 17977 2
9094 1367 2
9221 12932 2
9252 19609 2
9543 916 2
9551 3922 2
9596 15871 2
9665 5049 2
9795 8655 2
9982 6692 2
9982 8313 1
10036 7055 2
10218 10333 2
10342 9944 2
10344 9645 2
10464 189 2
10464 15445 2
10658 4679 2
10860 16378 2
10994 16953 2
11016 16527 2
11207 15051 2
11217 18564 2
11234 6107 2
11499 13936 2
11503 14774 2
11586 12497 2
11602 18226 2
11721 5513 2
11754 8560 2
11754 13700 2
11876 3391 2
11876 9799 2
11902 18886 2
11986 6567 2
11987 10542 1
12027 3207 2
12114 13978 2
12149 799 1
12149 19784 2
12154 2470 2
12154 15503 2
12197 8313 2
12294 18467 2
12472 12602 2
12544 17022 2
12750 6107 2
12880 10974 2
12896 15446 2
12903 8558 2
13145 12811 2
13566 15226 2
13626 135 2
13628 17316 2
13637 12388 2
13715 2585 2
13729 14629 2
13730 5936 2
13802 7712 2
13822 2437 1
13990 4398 2
13990 8841 2
14027 14222 2
14075 16705 1
14120 16900 2
14146 17562 2
14438 2594 2
14665 16980 2
14714 8656 2
14793 3334 1
14969 11615 2
15002 8484 2
15089 18111 1
15183 11906 2
15219 9055 2
15219 10336 2
15329 15352 2
15358 16628 2
15491 19077 2
15529 5796 2
15530 5386 2
15639 6926 2
15782 9608 2
15855 6204 2
15890 1080 2
15984 7286 2
16183 12663 2
16237 15578 2
16257 7268 2
16297 17261 2
16384 19595 2
16698 15514 2
16735 4398 1
16851 12552 2
17019 2830 2
17143 15020 2
17246 11562 2
17370 8402 1
17374 13360 1
17389 5872 1
17417 6568 2
17417 8749 1
17472 15250 1
17523 3377 2
17594 19160 1
17606 5063 2
17673 2530 2
17800 2330 2
17830 13825 1
17838 6143 2
17930 5138 2
18066 3868 2
18100 8956 2
18214 9584 1
18217 3040 2
18217 5673 2
18335 5003 2
18342 3430 2
18485 4344 2
18522 10035 2
18530 14956 2
18630 12213 1
18762 19060 2
19009 18003 2
19040 3740 2
19040 17993 2
19196 8745 2
19242 16944 1
19321 17862 2
19421 9895 1
19514 4768 2
19563 1347 2
19667 5674 2
19789 14303 2
19932 14456 1
19985 4766 2
19985 19330 2
19986 8187 2
345 14154 2
454 1515 2
692 17428 2
765 7911 1
972 15088 2
1081 15939 1
1111 4202 2
1129 908 2
1225 1671 2
1238 19545 2
1293 4781 1
1332 1705 1
1366 1699 2
1366 19406 2
1388 4061 2
1430 15357 2
1436 1723 2
1498 13758 2
1615 19916 2
1636 16894 2
1641 6888 2
1813 19457 2
1899 16266 2
2017 16929 2
2346 13050 2
2370 586 2
2370 8173 1
2588 2303 2
2770 9817 2
2771 585 2
2789 3653 2
2889 8453 2
2933 19772 1
2949 10894 2
2953 13000 2
3159 14575 2
3332 10976 2
3341 19994 2
3446 2045 2
3659 18137 2
3677 626 2
3866 18407 2
3902 6209 2
3905 636 2
3905 7135 2
4006 13389 2
4047 4805 2
4048 17411 2
4246 11536 2
4269 2203 1
4296 1976 2
4339 5295 2
4538 5044 2
4571 16326 2
4571 18550 1
4606 3120 2
4644 6397 2
4750 9100 2
4825 5699 2
4871 11760 2
5048 16807 2
5100 2931 2
5233 296 1
5246 1976 2
5323 3177 2
5553 4690 2
5660 13989 2
5782 15799 2
6021 17720 2
6034 17661 1
6263 4233 2
6273 5158 2
6273 13009 2
6329 13559 1
6817 10532 2
6944 4144 2
6978 11611 2
7109 18650 2
7278 8422 2
7280 19516 2
7407 677 2
7496 19754 2
7559 16917 2
7676 8765 2
7683 1021 2
7690 19972 2
7701 5236 2
7760 4719 2
7760 13641 2
7970 10980 2
7970 18021 1
8179 14806 2
8215 1552 2
8309 407 2
8367 11620 2
8404 2203 2
8713 2761 2
8875 6015 2
9162 18090 2
9254 5313 2
9255 10409 2
9719 16692 2
9751 9283 2
9770 3476 2
9770 4586 2
9876 5603 2
9903 12541 1
9911 10528 2
9969 16737 2
9982 17696 2
10016 11585 2
10146 5694 1
10146 16284 2
10361 12421 2
10389 9107 2
10533 9807 2
10592 4820 2
10618 3604 2
10764 3484 2
10869 17570 1
10869 18332 2
10874 4375 2
10917 4660 2
10946 4776 2
10965 8938 2
10984 5715 2
11004 8268 2
11154 6787 2
11202 5775 2
11241 1743 2
11380 13491 1
11508 2964 2
11528 9136 2
11530 18884 1
11598 17030 2
11755 9189 2
11787 10976 2
11846 12192 2
11923 4586 2
12188 10823 2
12294 7315 1
12295 12467 2
12544 16971 2
12673 4585 2
12685 9817 2
12685 12553 2
12849 14254 2
13471 5114 2
13580 8090 2
13595 12309 2
13596 3192 2
13715 2700 2
13750 3663 2
13838 12504 2
13898 7194 2
13898 16841 2
13993 15894 2
14115 6282 1
14123 19190 2
14146 15215 2
14243 18426 2
14390 3987 2
14580 14983 2
14772 11163 2
15422 6209 2
15436 4363 2
15465 13848 2
15488 19489 1
15489 10648 2
15574 18897 2
15601 8079 2
15663 4618 2
15676 10911 2
15697 18394 2
15722 13591 2
15898 6185 1
15998 14886 2
16107 19204 2
16147 4307 2
16237 4779 2
16276 596 2
16291 16917 1
16329 18771 2
16400 18434 2
16645 15835 2
16671 3915 2
16713 9564 2
16713 13811 2
16743 12059 2
16749 13303 2
16941 10797 2
16979 10443 2
17084 16737 2
17142 12555 2
17385 11326 2
17746 16316 2
17839 16368 2
17996 12814 2
18246 15758 2
18325 19566 2
18596 3484 2
18639 8391 2
18762 15650 2
18880 4914 2
19041 15041 2
19183 19754 2
19362 10329 2
19392 6478 2
19514 15758 2
19797 7050 2
19859 10332 1
19923 8678 2
19988 13113 1
92 485 2
198 8993 2
257 4056 2
412 1126 2
425 6462 2
425 19015 2
513 856 2
546 2241 2
568 478 2
682 3894 2
932 10433 2
1162 2088 2
1265 9745 2
1281 7728 2
1330 14742 2
1408 16022 2
1488 1310 2
1574 9667 2
1575 14815 2
1708 1084 2
1788 10234 2
1857 19042 2
1942 17049 2
2019 7211 2
2111 1310 2
2394 1124 2
2596 17499 2
2600 14462 2
2654 5942 2
2658 12050 2
3260 1496 2
3390 10556 2
3533 4760 2
3569 18490 2
4104 11347 2
4154 12378 2
4281 12608 2
4296 435 2
4447 5563 2
4648 18784 2
4720 19200 2
4850 684 2
4853 8719 2
6576 9775 2
6653 12243 2
6658 1084 2
6720 819 2
6883 14052 2
6912 2970 2
6925 18984 2
7352 3637 2
7618 2903 2
7711 6721 2
7868 5698 2
8140 7212 2
8489 16234 2
8966 16666 2
8999 7061 2
9042 819 2
9061 3009 2
9131 16081 2
9444 3948 2
9452 485 2
9452 6285 2
9876 16669 2
10100 14416 2
10225 15638 2
10319 15027 2
10414 2887 2
10847 919 2
10847 12502 2
11188 3063 2
11188 6400 2
11246 19083 2
11666 6248 2
12525 6248 2
12544 2038 2
12625 1007 2
12728 9076 2
12729 9739 2
13129 12522 2
13206 12095 2
13244 3815 2
13530 12288 2
13730 4020 2
13855 3111 2
14018 5501 2
14115 15565 2
14217 16744 2
15005 13692 2
15582 3815 2
15697 19210 2
15767 4931 2
15862 11512 2
15941 8135 2
15971 752 2
15971 14604 2
16019 18825 2
16175 19203 2
16220 4231 2
16242 18666 2
16274 4460 2
16297 11258 2
16388 2854 2
16388 8882 2
16499 12162 2
16691 6639 2
16941 1101 2
17493 4937 2
17609 7943 2
17642 4276 2
18115 17395 2
18610 9745 2
18972 18442 2
19136 17355 2
19392 4415 2
19859 19626 2
13 13560 2
109 3334 2
124 4556 2
230 12943 2
338 18585 2
358 5574 2
371 3089 2
471 9013 2
548 15375 2
645 13004 1
662 9812 2
675 7543 2
847 10573 2
1116 2530 2
1123 7554 2
1130 12682 2
1130 19272 2
1156 3922 2
1475 10252 2
1531 8413 2
1610 13541 2
1610 15272 2
1695 19634 2
1858 17085 2
1932 17574 2
1944 4811 2
1969 6688 2
1969 19725 2
2100 11810 2
2113 10771 2
2145 16980 2
2252 2429 2
2282 4245 2
2363 13052 2
2429 2252 2
2502 12615 2
2530 1116 2
2530 3873 2
2535 19806 2
2619 13487 2
2912 9533 2
3028 16914 2
3089 371 2
3099 8259 2
3334 109 2
3377 15511 2
3501 3681 2
3565 3584 2
3581 14583 2
3584 3565 2
3584 13496 2
3623 19483 1
3681 3501 2
3690 18747 1
3721 15296 2
3747 6668 2
3756 13818 2
3795 7844 2
3873 2530 2
3922 1156 2
3936 4066 2
3936 12485 2
3936 17415 2
4055 12137 2
4066 3936 2
4067 7596 2
4245 2282 2
4416 17982 2
4506 6923 2
4556 124 2
4556 12966 2
4595 13509 2
4619 12497 2
4650 10392 2
4695 15644 2
4704 10866 2
4735 7363 2
4803 8821 2
4811 1944 2
4839 13952 2
4968 10821 2
5039 15242 2
5232 9436 2
5574 358 2
5606 18904 2
5610 7992 1
5701 8148 2
5731 16700 2
5901 15715 2
6245 17507 2
6267 16673 1
6328 12867 2
6422 13937 2
6552 7596 2
6638 10952 2
6668 3747 2
6688 1969 2
6923 4506 2
7014 12665 2
7245 16763 1
7363 4735 2
7482 13165 2
7518 16953 2
7543 675 2
7554 1123 2
7554 19020 2
7596 4067 2
7596 6552 2
7735 17841 2
7761 12280 2
7844 3795 2
7898 10072 2
7992 5610 1
8148 5701 2
8164 18039 2
8205 18922 2
8229 16688 1
8259 3099 2
8324 15460 2
8413 1531 2
8450 8781 2
8711 16720 2
8781 8450 2
8799 18564 2
8821 4803 2
9003 11048 2
9013 471 2
9111 14866 2
9229 12762 2
9334 9706 2
9357 13409 2
9423 17232 2
9436 5232 2
9533 2912 2
9619 18524 2
9706 9334 2
9774 15039 2
9805 10449 2
9812 662 2
9826 16742 2
10072 7898 2
10252 1475 2
10392 4650 2
10449 9805 2
10535 14718 2
10573 847 2
10578 17704 2
10650 18615 2
10771 2113 2
10821 4968 2
10866 4704 2
10952 6638 2
11003 17519 2
11048 9003 2
11788 12794 2
11810 2100 2
12070 15381 2
12137 4055 2
12280 7761 2
12485 3936 2
12497 4619 2
12615 2502 2
12665 7014 2
12682 1130 2
12706 19092 2
12762 9229 2
12794 11788 2
12867 6328 2
12943 230 2
12966 4556 2
13004 645 1
13004 18916 1
13052 2363 2
13132 15981 2
13165 7482 2
13409 9357 2
13487 2619 2
13496 3584 2
13509 4595 2
13541 1610 2
13560 13 2
13713 19478 1
13818 3756 2
13937 6422 2
13952 4839 2
14084 15242 2
14583 3581 2
14595 17474 2
14718 10535 2
14866 9111 2
15039 9774 2
15242 5039 2
15242 14084 2
15272 1610 2
15296 3721 2
15375 548 2
15381 12070 2
15460 8324 2
15511 3377 2
15644 4695 2
15715 5901 2
15981 13132 2
16215 18027 2
16472 19756 2
16673 6267 1
16688 8229 1
16688 19938 2
16700 5731 2
16720 8711 2
16742 9826 2
16763 7245 1
16763 18111 2
16914 3028 2
16953 7518 2
16980 2145 2
17058 18361 1
17085 1858 2
17223 17461 2
17232 9423 2
17400 17544 2
17415 3936 2
17461 17223 2
17474 14595 2
17507 6245 2
17519 11003 2
17544 17400 2
17574 1932 2
17704 10578 2
17841 7735 2
17982 4416 2
18027 16215 2
18039 8164 2
18111 16763 2
18361 17058 1
18418 19752 2
18524 9619 2
18564 8799 2
18577 19476 2
18585 338 2
18615 10650 2
18747 3690 1
18904 5606 2
18916 13004 1
18922 8205 2
19020 7554 2
19092 12706 2
19272 1130 2
19476 18577 2
19478 13713 1
19483 3623 1
19634 1695 2
19725 1969 2
19752 18418 2
19756 16472 2
19806 2535 2
19938 16688 2
97 12115 2
169 18600 2
526 6036 2
721 12931 2
754 15861 2
771 6176 2
847 6861 2
1083 15956 2
1170 15939 2
1660 4618 2
1770 1541 2
1895 9819 2
1908 8678 2
1993 1092 2
2002 19352 2
2014 13811 2
2029 19796 2
2087 10405 2
2116 17182 2
2154 6073 2
2179 8559 2
3013 9224 2
3186 13258 2
3385 8460 2
3425 11363 2
3608 11468 2
3651 9283 2
3791 3493 2
4066 15994 2
4073 19874 2
4123 7045 2
4174 3036 2
4335 12679 2
4403 4550 2
4406 1087 2
4406 13066 2
4463 3919 2
4767 16284 2
4976 2557 2
5147 3183 2
5609 6909 2
5774 6610 2
5821 12489 2
5844 8510 2
5879 16421 2
5948 2376 2
6115 19590 2
6434 2224 2
6434 15995 2
6563 677 2
6605 3797 2
6921 2521 2
6923 5009 2
7166 3942 2
7244 13890 2
7442 6742 2
7548 14413 2
7554 12231 2
7873 725 2
8043 8831 2
8146 10562 2
8163 15487 2
8331 12210 2
8331 18449 2
8336 15995 2
8546 5414 2
8652 362 2
8973 8614 2
9016 13976 2
9133 586 2
9286 7717 2
9300 9057 2
9306 4779 2
9306 14060 2
9425 15206 2
9669 14729 2
9736 7567 2
10535 8122 2
10569 13282 2
10595 16143 2
10681 18426 2
11152 19161 2
11212 17471 2
11559 7131 2
11659 11327 2
11659 14598 2
11727 7764 2
12263 19457 2
12485 15994 2
12508 7907 2
12706 2473 2
12816 689 2
12986 3807 2
13600 15894 2
14253 10405 2
14576 1840 2
14795 9215 2
14849 8024 2
15080 14598 2
15097 14254 2
15227 15178 2
15397 8006 2
15568 19674 2
17101 12439 2
17354 10911 2
17574 9356 2
17827 3643 2
17994 5262 2
18111 1817 2
18213 8635 2
19188 16816 2
19272 14900 2
19369 1256 2
19478 785 2
19703 6608 2
19716 8704 2
19725 8712 2
19752 5463 2
19827 19635 2
19898 9536 2
19950 4061 2
